Município;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas, galos, frangas, frangos e pintos;Codornas;Patos, gansos, marrecos, perdizes e faisões;Perus;Avestruzes;Coelhos
Acari (RN);45,56084656;NA;3,345238095;1,738738739;2,277777778;38,7173913;38,59793814;26,10344828;691,8358209;NA;10,44;4,5;NA;NA
Açu (RN);20,20997921;NA;2,688034188;1,449541284;1,257142857;37,31216931;34,90238095;7,607734807;59,33197556;NA;18,14285714;7,972222222;NA;NA
Afonso Bezerra (RN);15,82997118;NA;2,725714286;1,294964029;1,25;24,84892086;24,01818182;4,154545455;30,79768786;NA;8,388059701;4,225806452;NA;2
Água Nova (RN);13,66292135;NA;2,454545455;1,15;1,444444444;13,21428571;11,56521739;4,882352941;34,98484848;NA;8,727272727;5;NA;NA
Alexandria (RN);22,09090909;NA;2,973684211;1,178571429;1,523809524;24,4137931;32,63913043;6,43956044;68,24697337;NA;26,89333333;5,694444444;NA;NA
Almino Afonso (RN);14,75462963;NA;1,72972973;1,208955224;1,526315789;21,22727273;23,34177215;5,942307692;43,16959064;NA;11,5;NA;NA;NA
Alto do Rodrigues (RN);17,72992701;NA;2,378378378;3,166666667;1,028571429;38,75862069;22,61904762;8,058823529;42,02830189;NA;14,10526316;NA;NA;NA
Angicos (RN);42,12987013;NA;4,8;5,224489796;6,5;58,46511628;61,53900709;10,04918033;32,40251572;NA;17,234375;NA;NA;NA
Antônio Martins (RN);12,88321168;NA;2,117647059;1,075;1,161764706;16,31707317;22,34090909;3,621052632;30,01369863;NA;10,8;3,708333333;NA;NA
Apodi (RN);14,66188198;NA;2,278287462;1,362318841;1,323741007;45,85823755;31,33628319;6,870466321;37,72617247;119,7;13,9047619;5,397260274;NA;22,6
Areia Branca (RN);11,70588235;NA;1,857142857;1,105263158;1,095238095;31,57894737;25,68656716;27,79069767;33,62745098;NA;16,86956522;5,666666667;NA;NA
Arês (RN);18,61111111;NA;3;1,2;1,5;NA;12,8;15,29411765;44,93421053;NA;6,545454545;NA;NA;NA
Augusto Severo (RN);26,97081413;NA;3,016216216;2,073529412;1,694444444;24,22857143;35,24203822;6,680628272;36,54115226;NA;23,31067961;5,215686275;NA;5,6
Baía Formosa (RN);212;NA;NA;NA;NA;NA;NA;NA;60,8;NA;NA;NA;NA;NA
Baraúna (RN);15,20502092;NA;1,82967033;1,16091954;1,197368421;21,15068493;26,87452471;11,22429907;76,7534626;NA;11,51724138;NA;NA;NA
Barcelona (RN);16,05109489;NA;2,5;1,771428571;1,0625;14,72727273;18,28787879;3,828571429;29,61061947;NA;16,375;5,272727273;NA;NA
Bento Fernandes (RN);17,10632911;NA;2,603092784;1,288135593;NA;12,30275229;16,61184211;4,886363636;27,1032967;NA;12,87301587;5,930232558;NA;NA
Bodó (RN);10,86666667;NA;2,352941176;1,785714286;1,476190476;24,46153846;29,8125;4,217391304;27,15853659;NA;NA;NA;NA;NA
Bom Jesus (RN);19,75675676;NA;3,656565657;1,125;1,1875;5,904761905;12,23529412;7,079545455;33,46859903;NA;13,42307692;3,966666667;NA;NA
Brejinho (RN);15,27924528;NA;3,068181818;NA;NA;6,142857143;10,12820513;7,909090909;287,6418919;NA;9,857142857;7,125;NA;NA
Caiçara do Norte (RN);12,23255814;NA;3,333333333;1,444444444;NA;15,04545455;24,56410256;6,15;37,52459016;NA;16,52941176;10,85714286;NA;NA
Caiçara do Rio do Vento (RN);16,97938144;NA;2,469387755;1,060606061;1,5;42,56140351;33,12727273;5,161290323;23,7375;NA;6,7;NA;NA;NA
Caicó (RN);39,27525622;NA;3,352727273;1,458860759;1,54491018;30,62430939;37,35099338;16,28085106;55,41402337;NA;12,26262626;4,909090909;NA;NA
Campo Redondo (RN);11,7840617;NA;2,755813953;1,141304348;1,289473684;13,0990099;12,91588785;3,311827957;72,47154472;NA;7,541666667;NA;NA;NA
Canguaretama (RN);35,875;NA;5,888888889;1,4;1;NA;17,26315789;12,58333333;48,02040816;NA;22;NA;NA;NA
Caraúbas (RN);13,67223382;NA;2,319672131;1,596707819;1,433884298;27,32302405;28,60719041;5,808035714;27,76310861;10,5;18,34765625;5,267326733;NA;2,4
Carnaúba dos Dantas (RN);16,5323741;NA;2,928571429;1,269230769;1,727272727;24,3902439;24,09090909;10,27777778;35,56;NA;65,6;7,2;NA;NA
