Municípios;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas, galos, frangas, frangos e pintos;Codornas;Patos, gansos, marrecos, perdizes e faisões;Perus;Avestruzes;Coelhos
ACARI;189;;84;111;54;46;97;29;134;4;25;8;;1
AÇU;481;;234;109;105;189;420;181;491;3;77;36;;1
AFONSO BEZERRA;347;;175;139;84;139;275;110;346;;67;31;;5
ÁGUA NOVA;89;;22;20;18;14;23;34;66;;11;4;;
ALEXANDRIA;484;;190;84;189;116;230;182;413;2;150;72;;5
ALMINO AFONSO;216;;37;67;38;44;79;52;171;1;4;3;;
ALTO DO RODRIGUES;137;;74;42;35;29;84;34;106;1;19;7;;2
ANGICOS;154;;85;98;42;86;141;61;159;1;64;6;;1
ANTÔNIO MARTINS;274;;51;80;68;82;88;95;219;2;40;24;;1
APODI;1254;;327;138;139;522;904;579;1322;10;168;73;;5
AREIA BRANCA;51;;42;19;21;19;67;43;153;;23;12;;
ARÊS;54;;27;10;14;4;10;17;76;1;11;2;;
AUGUSTO SEVERO;651;;185;136;108;175;471;191;486;;103;51;;5
BAÍA FORMOSA;5;;1;;;2;;;5;;;;;
BARAÚNA;239;;182;87;76;73;263;107;361;1;29;27;;
BARCELONA;137;;60;35;16;22;66;35;113;;8;11;;
BENTO FERNANDES;395;;194;59;25;109;304;176;455;;63;43;;2
BODÓ;75;;17;14;21;26;16;46;82;;2;4;;
BOM JESUS;222;;99;8;16;21;68;88;207;2;26;30;;2
BREJINHO;265;;88;4;1;28;39;66;148;;7;8;;
CAIÇARA DO NORTE;43;;15;9;6;22;39;20;61;;17;7;;1
CAIÇARA DO RIO DO VENTO;97;;49;33;38;57;55;31;80;;10;4;2;
CAICÓ;683;;275;316;167;181;453;235;599;1;99;55;1;6
CAMPO REDONDO;389;;86;92;38;101;214;186;369;;24;18;;1
CANGUARETAMA;64;1;27;5;5;2;19;12;49;;4;1;;1
CARAÚBAS;958;;366;243;242;291;751;448;1068;4;256;101;;5
CARNAÚBA DOS DANTAS;139;;28;26;11;41;44;18;100;;5;5;;
CARNAUBAIS;306;;170;37;67;40;195;71;238;;26;12;;
CEARÁMIRIM;449;;279;18;50;40;138;144;472;1;45;11;;3
CERRO CORÁ;592;;52;73;41;191;188;418;575;;22;33;;1
