Municípios;Total;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas..galos..frangas..frangos.e.pintos;Codornas;Patos..gansos..marrecos..perdizes.e.faisões;Perus;Avestruzes;Coelhos
RIO GRANDE DO NORTE;7514035;758453;NA;40852;14860;9633;281753;532140;103473;5643249;40459;70255;15786;NA;1701
ACARI;108790;8611;NA;281;193;123;1781;3744;757;92706;NA;261;36;NA;NA
AÇU;64595;9721;NA;629;158;132;7052;14659;1377;29132;NA;1397;287;NA;NA
AFONSO BEZERRA;28130;5493;NA;477;180;105;3454;6605;457;10656;NA;562;131;NA;10
ÁGUA NOVA;4361;1216;NA;54;23;26;185;266;166;2309;NA;96;20;NA;NA
ALEXANDRIA;55823;10692;NA;565;99;288;2832;7507;1172;28186;NA;4034;410;NA;NA
ALMINO AFONSO;14419;3187;NA;64;81;58;934;1844;309;7382;NA;46;NA;NA;NA
ALTO DO RODRIGUES;10874;2429;NA;176;133;36;1124;1900;274;4455;NA;268;NA;NA;NA
ANGICOS;28288;6488;NA;408;512;273;5028;8677;613;5152;NA;1103;NA;NA;NA
ANTÔNIO MARTINS;14566;3530;NA;108;86;79;1338;1966;344;6573;NA;432;89;NA;NA
APODI;129661;18386;NA;745;188;184;23938;28328;3978;49874;1197;2336;394;NA;113
AREIA BRANCA;9836;597;NA;78;21;23;600;1721;1195;5145;NA;388;68;NA;NA
ARÊS;5073;1005;NA;81;12;21;NA;128;260;3415;NA;72;NA;NA;NA
AUGUSTO SEVERO;61150;17558;NA;558;282;183;4240;16599;1276;17759;NA;2401;266;NA;28
BAÍA FORMOSA;1427;1060;NA;NA;NA;NA;NA;NA;NA;304;NA;NA;NA;NA;NA
BARAÚNA;42184;3634;NA;333;101;91;1544;7068;1201;27708;NA;334;NA;NA;NA
BARCELONA;7628;2199;NA;150;62;17;324;1207;134;3346;NA;131;58;NA;NA
BENTO FERNANDES;28021;6757;NA;505;76;NA;1341;5050;860;12332;NA;811;255;NA;NA
BODÓ;4477;815;NA;40;25;31;636;477;194;2227;NA;NA;NA;NA;NA
BOM JESUS;13960;4386;NA;362;9;19;124;832;623;6928;NA;349;119;NA;NA
BREJINHO;48111;4049;NA;270;NA;NA;172;395;522;42571;NA;69;57;NA;NA
CAIÇARA DO NORTE;4660;526;NA;50;13;NA;331;958;123;2289;NA;281;76;NA;NA
CAIÇARA DO RIO DO VENTO;8270;1647;NA;121;35;57;2426;1822;160;1899;NA;67;NA;NA;NA
CAICÓ;89514;26825;NA;922;461;258;5543;16920;3826;33193;NA;1214;270;NA;NA
CAMPO REDONDO;36683;4584;NA;237;105;49;1323;2764;616;26742;NA;181;NA;NA;NA
CANGUARETAMA;5447;2296;NA;159;7;5;NA;328;151;2353;NA;88;NA;NA;NA
CARAÚBAS;81653;13098;NA;849;388;347;7951;21484;2602;29651;42;4697;532;NA;12
CARNAÚBA DOS DANTAS;8597;2298;NA;82;33;19;1000;1060;185;3556;NA;328;36;NA;NA
CARNAUBAIS;21097;6202;NA;486;54;83;795;4960;287;7894;NA;242;94;NA;NA
CEARÁ-MIRIM;745267;13381;NA;994;24;98;491;2934;866;725842;NA;469;83;NA;NA
CERRO CORÁ;36664;5761;NA;135;86;51;2317;1859;2043;23910;NA;NA;266;NA;NA
CORONEL EZEQUIEL;6593;1454;NA;43;32;39;385;428;442;3543;NA;206;21;NA;NA
CORONEL JOÃO PESSOA;10564;1509;NA;67;111;55;404;349;325;7353;NA;336;55;NA;NA
CRUZETA;28360;9669;NA;275;208;185;740;4323;2183;10373;NA;303;82;NA;NA
CURRAIS NOVOS;70970;7661;NA;392;286;183;2089;6245;1332;52190;NA;390;170;NA;NA
DOUTOR SEVERIANO;25612;2970;NA;57;226;58;968;867;1006;19045;NA;NA;161;NA;NA
PARNAMIRIM;40595;199;NA;NA;NA;NA;NA;NA;NA;40240;NA;NA;NA;NA;NA
ENCANTO;20208;3290;NA;77;39;53;956;2502;835;11657;NA;711;NA;NA;NA
EQUADOR;7413;1139;NA;34;43;NA;2458;359;161;3104;NA;47;34;NA;10
ESPÍRITO SANTO;13989;4249;NA;287;NA;15;225;478;366;7803;NA;349;197;NA;NA
EXTREMOZ;6271;1229;NA;134;9;4;38;604;705;3481;NA;55;12;NA;NA
FELIPE GUERRA;18951;1385;NA;133;21;28;8329;3127;579;4949;NA;366;34;NA;NA
FERNANDO PEDROZA;14492;2171;NA;196;87;72;4474;5233;98;1969;NA;176;NA;NA;NA
FLORÂNIA;32171;8912;NA;256;212;83;1889;6240;1268;13148;NA;NA;78;NA;NA
